idx_ocorrencia,codigo_sala
0,210
1,210
2,204
3,204
4,207
5,207
6,204
7,210
8,207
9,204
10,206
11,206
12,206
13,201
14,201
15,201
16,201
17,306
18,306
19,304
20,304
21,303
22,303
23,304
24,304
25,405
26,405
27,405
28,405
29,403
30,403
31,403
32,403
33,403
34,403
35,405
36,405
37,405
38,405
39,404
40,404
41,306
42,306
43,306
44,306
45,306
46,306
47,204
48,204
49,204
50,210
51,210
52,210
53,210
54,210
55,210
56,204
57,204
58,204
59,306
60,306
61,306
62,206
63,206
64,206
65,204
66,204
67,204
68,303
69,303
70,301
71,301
72,301
73,301
74,201
75,201
76,201
77,201
78,208
79,208
80,208
81,208
82,206
83,206
84,206
85,206
86,201
87,201
88,201
89,201
90,407
91,301
92,407
93,204
94,302
95,407
96,302
97,407
98,308
99,308
100,206
101,308
102,303
103,306
104,303
105,303
106,205
107,205
108,207
109,207
110,209
111,209
112,314
113,314
114,305
115,314
116,306
117,306
118,304
119,304
120,404
121,404
122,407
123,308
124,407
125,210
126,302
127,302
128,303
129,303
130,301
131,301
132,302
133,302
134,302
135,302
136,305
137,317
138,305
139,317
140,309
141,309
142,309
143,309
144,305
145,305
146,309
147,309
148,305
149,305
150,403
151,403
152,403
153,403
154,403
155,403
156,403
157,403
158,405
159,303
160,302
161,405
162,302
163,405
164,301
165,404
166,303
167,407
168,210
169,405
170,301
171,301
172,301
173,301
174,301
175,301
176,207
177,207
178,205
179,205
180,205
181,205
182,209
183,209
184,205
185,205
186,205
187,205
188,309
189,309
190,208
191,208
192,209
193,209
194,205
195,209
196,209
197,209
198,308
199,407
200,308
201,407
202,308
203,407
204,308
205,407
206,308
207,407
208,308
209,308
210,407
211,407
212,407
213,407
214,308
215,308
216,308
217,308
218,301
219,203
220,301
221,203
222,203
223,203
224,201
225,201
226,303
227,308
228,203
229,203
230,307
231,307
232,307
233,307
234,206
235,210
236,203
237,203
238,206
239,201
240,203
241,210
242,301
243,301
244,301
245,301
246,307
247,404
248,307
249,405
250,304
251,304
252,210
253,210
254,302
255,302
256,302
257,302
258,304
259,304
260,401
261,401
262,401
263,401
264,201
265,201
266,308
267,308
268,208
269,208
270,208
271,208
272,208
273,208
274,206
275,206
276,206
277,207
278,207
279,206
280,206
281,203
282,203
283,208
284,208
285,208
286,208
287,305
288,305
289,304
290,301
291,301
292,302
293,302
294,401
295,401
296,401
297,401
298,406
299,406
300,402
301,402
302,402
303,402
304,402
305,402
306,402
307,402
308,401
309,401
310,209
311,209
312,205
313,205
314,209
315,209
316,403
317,209
318,201
319,201
320,308
321,308
322,206
323,206
324,304
325,304
326,403
327,403
328,303
329,303
330,303
331,303
332,303
333,303
334,312
335,312
336,309
337,304
338,407
339,307
340,201
341,204
342,208
343,210
344,206
345,206
346,204
347,204
348,309
349,309
350,306
351,304
352,210
353,306
354,208
355,208
356,407
357,404
358,304
359,204
360,306
361,307
362,306
363,201
364,204
365,304
366,404
367,304
368,305
369,208
370,208
371,206
372,206
373,405
374,405
375,401
376,309
377,404
378,307
379,205
380,404
381,307
382,402
383,303
384,303
385,306
386,306
387,404
388,404
389,404
390,307
391,407
392,307
393,307
394,307
395,201
396,201
397,308
398,308
399,210
400,210
401,206
402,301
403,301
404,210
405,210
406,309
407,309
408,307
