ID_TURMA,TERMO,CÓD. UC,UNIDADE CURRICULAR,TURMA,Vagas,Inscritos,DOCENTE,DEPARTAMENTO,TIPO_SALA,Dia,Hora,Acessibilidade
1,TERMO 1,2672,"Ciência, Tecnologia e Sociedade (2)",IA,65,52,Pereira,BCT,SL,seg,15:30,0
2,TERMO 1,2672,"Ciência, Tecnologia e Sociedade (2)",IB,65,55,Pereira,BCT,SL,seg,13:30,0
3,TERMO 1,2672,"Ciência, Tecnologia e Sociedade (2)",IC,65,50,Walter,BCT,SL,seg,15:30,0
4,TERMO 1,2672,"Ciência, Tecnologia e Sociedade (2)",ID,65,52,Evandro,BCT,SL,seg,13:30,0
5,TERMO 1,2672,"Ciência, Tecnologia e Sociedade (2)",IE,25,18,Luciana,BCT,SL,seg,13:30,0
6,TERMO 1,2672,"Ciência, Tecnologia e Sociedade (2)",IF,25,14,Luciana,BCT,SL,seg,15:30,0
7,TERMO 1,2672,"Ciência, Tecnologia e Sociedade (2)",,65,57,Walter,BCT,SL,seg,19:00,0
8,TERMO 1,2672,"Ciência, Tecnologia e Sociedade (2)",NB,65,49,Evandro,BCT,SL,seg,19:00,0
9,TERMO 1,2672,"Ciência, Tecnologia e Sociedade (2)",NC,25,20,Luciana,BCT,SL,seg,19:00,0
10,TERMO 1,5704,Química Geral (4),IA,50,50,Dayane,BCT,SL,qua,13:30,0
10,TERMO 1,5704,Química Geral (4),IA,50,50,Dayane,BCT,SL,sex,15:30,0
11,TERMO 1,5704,Química Geral (4),IB,50,51,Dayane,BCT,SL,qua,15:30,0
11,TERMO 1,5704,Química Geral (4),IB,50,51,Dayane,BCT,SL,sex,13:30,0
12,TERMO 1,5704,Química Geral (4),IC,50,47,Silvia,BCT,SL,qua,13:30,0
12,TERMO 1,5704,Química Geral (4),IC,50,47,Silvia,BCT,SL,sex,15:30,0
13,TERMO 1,5704,Química Geral (4),ID,50,49,Elias,BCT,SL,qua,15:30,0
13,TERMO 1,5704,Química Geral (4),ID,50,49,Elias,BCT,SL,sex,13:30,0
