Nome da Disciplina,Programas,DOCENTE,Dia/Horário,Inscritos,Créditos*,Sala / Lab / Lab Info
Algebra,PPGMAT,Abbas,Ter 10h00 e Sex 8h00,3,4,SL
Álgebra Linear,PPGMAT,Angelo Calil Bianchi,Ter 13h30 e Sex 10h00,5,4,SL
Análise Funcional,PPGMAT,Leandro Cândido Batista,Seg 10h00 e Qua 08h00,5,4,SL
Aplicações de Sistemas Dinâmicas à Ciência e Tecnologia,PPGMAT,Elbert Einstein Nehrer Macau,Seg 13h30,7,4,SL
Aprendizado de Máquina,PPG-CC,Rodrigo Contreras,Qua 13h30,12,4,SL
Bioestatística,PPG-PIT/PPG-EB,Matheus Cardoso Moraes,Sex 19h00,6,4,SL
Ciência de Dados II,PPG-PIT,"Emerson, Camila e Flávia",Qui 19h00,10,4,SL
Introduçao ao Processamento de Sinais Biomédicos,PPG-EB,Karina Rabello Casali,Seg 19h00 e Qua 19h00,5,4,SL
Introdução aos Estudos Futuros,PPG-PIT,Yukio,Sáb 09h00,3,4,SL
Projeto de Ciência de Dados,PPG-CC,Filipe Verri,Ter 13h30,8,2,SL
Tópicos Avançados em Bioengenharia,PPG-EB,Fabio Aoki,Qua 19h00,5,4,SL
Tópicos Avançados em Sinais,PPG-EB,Adenauer Girardi Casali,Ter 13h30 e Sex 15h30,6,4,SL
Topologia,PPGMAT,Tiago Rodrigues Macedo,Qua 15h30 e Sex 13h30,4,4,SL
Transdução de Grandezas Biomédicas,PPG-EB,Roberson Saraiva Poli,Qui 19h00,6,4,SL
User Center Design,PPG-CC,Tiago Silva da Silva,Qua 19h00,8,4,SL
Visão Computacional,PPG-CC,Fábio Augusto M. Cappabianco,Qui 19h00,9,4,SL
Seminários,PPGMAT,Gleiciane,Qua 13h30,11,2,SL
Matemática Discreta,PROFMAT,Marcelo Cristino Gama,Sex 08h00,6,4,SL
Números e Funções Reais,PROFMAT,Pedro Levit Kaufmann,Sex 13h30,15,4,SL
Fundamentos de Cálculo,PROFMAT,Kelly Cristina Jorge Sakamoto,Sex 08h00,13,4,SL
